Value,Designator (Location),Quantity ,Footprint,Required,Notes,Website
330nF,C10,1,Capacitor_SMD:C_0805_2012Metric,Y,Capacitor SMD,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805B334K500NT_C1740.html 
1pF,C5,1,Capacitor_SMD:C_0805_2012Metric,Y,Capacitor SMD,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Walsin-Tech-Corp-0805N1R0C500CT_C424847.html 
100nF,"C6,C7,C8,C11",4,Capacitor_SMD:C_0805_2012Metric,Y,Capacitor SMD,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_TORCH-CT41G-0805-2X1-50V-0-1mF-M-N_C138340.html 
1uF,C9,1,Capacitor_SMD:CP_Elec_ 4x5.4mm,Y,Capacitor Electrolytic 4 x 5.4mm,https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_ST-Semtech-CS1H010M-CRC54_C116391.html 
PJ-202A,J2,1,Barrel_Jack_5.5mmODx2.1mmID_PJ-202A,Y,Barrel Jack for 15 V 1.2 A power supply,https://lcsc.com/product-detail/AC-DC-Power-Plugs-Receptacles_GANGYUAN-DC-470-2-1GP_C194407.html 
SFH_213,PV1,1,Photodiode_5mm_Radial_IR_Filtered,Y,Photodiode (IR Filtered),https://au.element14.com/osram-opto-semiconductors/sfh213-fa/photodiode-ir-filtered/dp/1212763?st=SFH213-FA 
BD681,Q1,1,BD681_Darlington_Transistor,Y,Transistor (Darlington),https://lcsc.com/product-detail/Darlington-Transistors_STMicroelectronics-BD681_C703688.html 
5.6K,R10,1,Resistor_SMD:R_0805_2012Metric,Y,"Resistor, May want a range (3K â€“ 15K)",https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_5-6KR-562-5_C159921.html 
4.7M,R5,1,Resistor_SMD:R_0805_2012Metric,Y,"Resistor, May want a range (3.3M to 10M)",https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_HKR-Hong-Kong-Resistors-RCT054M7FLF_C185697.html 
47,R6,1,Resistor_SMD:R_0805_2012Metric,Y,Resistor,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Walsin-Tech-Corp-WR08X470JTL_C168501.html
20K,R7,1,Resistor_SMD:R_0805_2012Metric,Y,Resistor,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RS-05K203JT_C139905.html 
5,R8,1,Resistor_SMD:R_0805_2012Metric,Y,Resistor,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RS-05L5R10FT_C304869.html 
Teensy3.6,U2,1,Teensy:Teensy35_36,Y,Only need one,https://www.pjrc.com/store/teensy36.html 
OPA320AIDBVT,U3,1,OPA320AIDBVT:SOT95P280X145-5N,Y,Operational amplifier for detection ,https://www.digikey.com/en/products/detail/texas-instruments/OPA320AIDBVT/2751273 
KA7812ETU,U4,1,KA7812:TO220V,Y,Linear voltage regulator,https://lcsc.com/product-detail/Dropout-Regulators-LDO_FeiHong-KA7812B_C438618.html 
Teensy-Board24Pin,Goes in J3,2,24 Pin Female Headers x2,Y,"For attaching teeny to circuit board, these are hard to find",https://www.ebay.com.au/itm/2-54mm-Pitch-Female-Pin-Header-Socket-Connector-Strip-2-3-4-5-6-7-40P-Single-Row/264208648021?hash=item3d84100755:g:FcoAAOSwoF5cmyg5&frcectupt=true
