Item,Qty,Reference(s),Value,Part Type,Additional Information,Notes,LibPart,Footprint
1,4,"C1, C4, C5, C7",100nF,Capacitor,0805 SMD,,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,1,C2,330nF,Capacitor,0805 SMD,,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
3,1,C3,1pF,Capacitor,"0805 SMD, %1","Buy high quality, may need to be increased (1.5, or 2-3 pF) if R4 is increased.",Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
4,1,C6,1uF,Capacitor,0805 SMD,,Device:C,Capacitor_SMD:CP_Elec_4x5.4
5,1,CR1,BD681,NPN Transistor,,,BD681-BD681,Additional-parts:BD681
6,1,D1,LED,LED,0805 SMD,,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
7,1,D2,SFH_213_FA,Photodiode,Positioned on bottom of board,,SFH_213_FA,Additional-parts:SFH_213_FA
8,1,J1,EJ503A,DC-Barel Jack,,,EJ503A-DCJack_EJ503A,Additional-parts:DCJack_MPD_EJ503A
9,1,J2,Screw_Terminal_01x02,5.0mm Screw Terminal,,,Connector:Screw_Terminal_01x02,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm
10,1,R1,15K,Resistor,"0805 SMD, Thin Film",,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
11,1,R2,20K,Resistor,"806 SMD, Thin Film",,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
12,1,R3,5,Resistor,"807 SMD, Thin Film",,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
13,1,R4,1M,Resistor,"808 SMD, Thin Film, 1%","Buy high quality, may need to be increased up to 2.3 Mohm if the device lacks sensitivity. ",Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
14,1,R5,2K,Resistor,"809 SMD, Thin Film",,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
15,1,R6,4K7,Variable Resistor,Part name: 3386G-1-102LF,This should give you control over the LED's brightness. May need to be adjusted along with R7 for different LED's.,3386G-1-102LF,3386G-1-102LF
16,1,R7,2R2,Resistor,Part name: 35602R2JT,"May need to be changed if LED is too bright or too dim. Increase if too bright, decrease if too dim.",Device:R,35602R2JT
17,1,U1,KA7812ETU,Volate Regulator,,,KA7812ETU,Additional-parts:TO253P1067X470X2040-3
18,1,U2,OPA320AIDBVT,Operational Amplifier,,,OPA320AIDBVT,Additional-parts:SOT95P280X145-5N
19,1,U3,Teensy3.6,Microcontroller,,,Teensy3.6-teensy,Teensy:Teensy35_36